Capital IQ Company Screening Report,,,,,,,,,,,,
,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,Company Type,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual]
A.R.C. Resins International Corp.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Aarti Surfactants Limited (BSE:543210),BSE:543210,Commodity Chemicals (Primary),Public Company, 47.0 , 24.33 , 7.67 ,-, 17.8 , 1.12 , 9.77 , 1.44 , 52.4 
Abadan Petrochemical Company,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Absolute Glass Protection Inc.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Achievor Recovery Ltd.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Achilles Corporation (TSE:5142),TSE:5142,Commodity Chemicals (Primary),Public Company, 6.85 , 17.1 , 0.474 , (5.74)  , 7.33 , 1.9 , 6.36 , 0.987 , 10.1 
ACI Global Corporation (OTCPK:ACGJ),OTCPK:ACGJ,Commodity Chemicals (Primary),Public Company,NM,-,NM,-,-,-,-,-,-
ACL Plastics PLC (COSE:APLA.N0000),COSE:APLA.N0000,Commodity Chemicals (Primary),Public Company, 5.95 , 1.75 , 0.734 , 6.42 , 13.1 , 8.1 , 16.6 , 1.11 , 2.48 
Adam Capital PLC (COSE:PCHH.N0000),COSE:PCHH.N0000,Commodity Chemicals (Primary),Public Company, 4.86 ,-, 0.165 ,-,-,-,-,-,-
Adeka Corporation (TSE:4401),TSE:4401,Commodity Chemicals (Primary),Public Company, 12.5 , 24.21 , 0.898 , 10.9 , 7.45 , 2.38 , 13.5 , 0.772 , 17.6 
"ADM Tronics Unlimited, Inc. (OTCPK:ADMT)",OTCPK:ADMT,Commodity Chemicals (Primary),Public Company,NM, 0.198 , 3.2 , (10.9)  , (7.1)  , 2.33 , (6.93)  , 0.726 , 18.5 
Advance Paint & Chemical Thailand Public Co. Ltd.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Advance Petrochemicals Limited (BSE:506947),BSE:506947,Commodity Chemicals (Primary),Public Company, 35.9 ,-, 1.64 , 8.26 ,-,-, 6.43 , 1.25 , 76.9 
Advance Syntex Limited (BSE:539982),BSE:539982,Commodity Chemicals (Primary),Public Company,NM, 0.226 , 0.711 , (12.3)  ,-,-, 6.43 , 0.939 , 60.0 
Advanced Petrochemical Company (SASE:2330),SASE:2330,Commodity Chemicals (Primary),Public Company, 25.3 , 27.3 , 5.01 , (0.476)  , 21.0 , 1.06 , 36.2 , 0.575 , 0.375 
AdvanSix Inc. (NYSE:ASIX),NYSE:ASIX,Commodity Chemicals (Primary),Public Company, 11.9 , 36.95 , 1.62 , (5.46)  , 14.9 , 1.2 , 12.2 , 0.927 , 46.8 
"Aekyung Petrochemical Co., Ltd. (KOSE:A161000)",KOSE:A161000,Commodity Chemicals (Primary),Public Company, 6.47 , 14.33 , 0.928 , 0.775 , 15.3 , 2.07 , 8.71 , 1.77 , 10.5 
AEL Zambia Plc (LUSE:AELZ),LUSE:AELZ,Commodity Chemicals (Primary),Public Company, 7.16 , 1.48 , 1.22 , 9.74 , 18.9 , 4.57 ,-, 1.37 ,-
"Aether Catalyst Solutions, Inc. (CNSX:ATHR)",CNSX:ATHR,Commodity Chemicals (Primary),Public Company,NM, 0.162 ,NM,-,NM, 0.279 ,-,-, 268.2 
Agarwal Industrial Corporation Limited (BSE:531921),BSE:531921,Commodity Chemicals (Primary),Public Company, 7.34 , 5.26 , 1.52 , 29.7 , 22.9 , 1.69 , 7.53 , 2.6 , 43.5 
"AgroCan Corporation,  prior to reverse merger with AgroCan (China) Inc.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Ahimsa Industries Limited (NSEI:AHIMSA),NSEI:AHIMSA,Commodity Chemicals (Primary),Public Company,NM,-, 0.82 , (19.0)  , (3.26)  , 1.62 , 3.65 , 1.06 , 36.2 
AirBoss of America Corp. (TSX:BOS),TSX:BOS,Commodity Chemicals (Primary),Public Company, 19.0 , 39.76 , 3.95 , 19.7 , 34.0 , 2.09 , 20.2 , 1.63 , 31.8 
Al Fajar Al Alamia Company SAOG (MSM:AFAI),MSM:AFAI,Commodity Chemicals (Primary),Public Company, 27.4 , 2.38 , 1.39 , (2.71)  , 4.21 , 1.19 , 20.5 , 0.311 , 48.2 
Al Kout Industrial Projects Company K.P.S.C. (KWSE:ALKOUT),KWSE:ALKOUT,Commodity Chemicals (Primary),Public Company,NM,-, 2.48 , 5.59 , (7.36)  , 1.53 , 28.4 , 0.704 , 24.3 
Al-Khair Gadoon Limited (KASE:AKGL),KASE:AKGL,Commodity Chemicals (Primary),Public Company, 8.62 ,-, 0.615 , 27.8 , 7.42 , 1.38 , 6.92 , 0.881 , 26.2 
Alcide Corp.,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
Alexandria Mineral Oils Company (CASE:AMOC),CASE:AMOC,Commodity Chemicals (Primary),Public Company,NM, 0.259 , 2.11 , (14.7)  , (29.2)  , 1.89 , (7.12)  , 2.12 ,-
Alkali Metals Limited (BSE:533029),BSE:533029,Commodity Chemicals (Primary),Public Company,NM, 1.32 , 1.62 , (5.17)  , (2.42)  , 1.19 , 10.9 , 0.6 , 30.8 
"ALPEK, S.A.B. de C.V. (BMV:ALPEK A)",BMV:ALPEK A,Commodity Chemicals (Primary),Public Company, 8.03 , 1.48 , 1.18 , 5.27 , 16.9 , 1.95 , 12.3 , 1.09 , 42.6 
Alufluoride Limited (BSE:524634),BSE:524634,Commodity Chemicals (Primary),Public Company, 44.1 , 4.25 , 3.32 , 5.14 ,-,-, 13.2 , 1.18 , 22.3 
Alujain Holding Corporation (SASE:2170),SASE:2170,Commodity Chemicals (Primary),Public Company, 12.1 , 19.34 , 2.17 , (18.7)  , 19.7 , 5.56 , (116.4)  , 0.009 , 0.075 
Amal Ltd (BSE:506597),BSE:506597,Commodity Chemicals (Primary),Public Company, 41.6 , 7.05 , 10.7 , (1.31)  , 29.4 , 3.11 , 37.0 , 0.735 , 13.3 
Amco India Limited (BSE:530133),BSE:530133,Commodity Chemicals (Primary),Public Company, 31.7 , 0.88 , 0.672 , 9.4 ,-,-, 4.22 , 1.76 , 33.0 
AMCO United Holding Limited (SEHK:630),SEHK:630,Commodity Chemicals (Primary),Public Company,NM, 0.02 , 2.12 , (15.1)  , (29.3)  , 3.76 , (59.6)  , 0.265 , 20.5 
"American Fiber Green Products, Inc. (OTCPK:AFBG)",OTCPK:AFBG,Commodity Chemicals (Primary),Public Company,NM, 0.065 ,NM,-,-,-,-,-,-
American Safety Closure,-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Amia Co.,Ltd (TPEX:8438)",TPEX:8438,Commodity Chemicals (Primary),Public Company, 37.5 , 2.03 , 2.16 , (2.33)  , 5.95 , 1.19 , 6.56 , 1.19 , 37.1 
Amines & Plasticizers Limited (BSE:506248),BSE:506248,Commodity Chemicals (Primary),Public Company, 18.2 , 1.95 , 4.2 , 10.1 , 26.2 , 1.67 , 12.9 , 1.67 , 33.4 
AMS Polymers Limited (BSE:540066),BSE:540066,Commodity Chemicals (Primary),Public Company, 41.4 ,-, 2.23 , 607.9 ,-,-, 4.37 , 2.58 , 48.6 
An Phat Bioplastics Joint Stock Company (HOSE:AAA),HOSE:AAA,Commodity Chemicals (Primary),Public Company, 15.5 , 1.13 , 1.18 , 20.6 , 8.42 , 1.28 , 8.18 , 0.897 , 46.9 
An Phat Holdings Joint Stock Company (HOSE:APH),HOSE:APH,Commodity Chemicals (Primary),Public Company, 131.2 , 3.86 , 4.31 , 16.1 , 5.73 , 1.17 , 8.93 , 0.831 , 52.0 
An Tien Industries Joint Stock Company (HOSE:HII),HOSE:HII,Commodity Chemicals (Primary),Public Company,-, 1.24 ,-,-,-,-,-,-,-
Analabs Resources Berhad (KLSE:ANALABS),KLSE:ANALABS,Commodity Chemicals (Primary),Public Company, 9.9 , 0.389 , 0.479 , (9.33)  , 5.1 , 1.35 , 14.2 , 0.316 , 17.2 
"Anhui Huaheng Biotechnology Co., Ltd. (SHSE:688639)",SHSE:688639,Commodity Chemicals (Primary),Public Company, 31.9 , 9.99 , 7.92 , 8.4 , 28.2 , 1.62 , 31.5 , 0.747 , 10.1 
"Anhui Huangshan Capsule Co., Ltd. (SZSE:002817)",SZSE:002817,Commodity Chemicals (Primary),Public Company, 50.7 , 2.19 , 2.99 , 3.77 , 6.05 ,-, 24.9 ,-,-
"Anhui Jiangnan Chemical Industry Co., Ltd. (SZSE:002226)",SZSE:002226,Commodity Chemicals (Primary),Public Company, 15.1 , 1.0 , 1.3 , 22.2 , 9.78 , 2.29 , 34.0 , 0.316 , 35.6 
"Anhui Leimingkehua Co.,Ltd.",-,Commodity Chemicals (Primary),Public Company,-,-,-,-,-,-,-,-,-
"Anhui Shenjian New Materials Co.,Ltd (SZSE:002361)",SZSE:002361,Commodity Chemicals (Primary),Public Company, 41.1 , 1.03 , 2.21 , 3.65 , 5.52 , 1.19 , 10.3 , 0.522 , 35.0 
"Anhui Wanwei Updated High-Tech Material Industry Co.,Ltd (SHSE:600063)",SHSE:600063,Commodity Chemicals (Primary),Public Company, 13.0 , 0.986 , 1.61 , 15.1 , 12.8 , 1.07 , 16.8 , 0.705 , 36.2 
AP Oil International Limited (SGX:5AU),SGX:5AU,Commodity Chemicals (Primary),Public Company, 13.8 , 0.18 , 0.526 , (14.7)  , 3.83 , 5.57 , 3.35 , 0.752 , 17.4 
Apcotex Industries Limited (BSE:523694),BSE:523694,Commodity Chemicals (Primary),Public Company, 35.4 , 5.46 , 5.11 , 0.908 , 15.9 , 1.75 , 12.7 , 1.27 , 4.56 
Applied Graphene Materials plc (AIM:AGM),AIM:AGM,Commodity Chemicals (Primary),Public Company,NM, 0.52 , 3.64 , (2.8)  , (53.9)  , 2.67 ,-, 0.011 , 0.471 
