Capital IQ Company Screening Report > [Financial Ratio Bot] Chemical companies test case,,,,,,,,,,,,,
,,,,,,,,,,,,,
Company Name,Exchange:Ticker,Industry Classifications,P/LTM Diluted EPS Before Extra [Latest] (x),"Day Close Price [Latest] (SGD, Historical rate)",P/BV [Latest] (x),"Total Revenues, 3 Yr CAGR % [LTM] (%)",Return on Equity % [LTM],Current Ratio [LTM],EBITDA Margin % [LTM],Total Asset Turnover [Latest Annual],Total Debt/Capital % [Latest Annual],Exchanges [Primary Listing],Exchanges [Secondary Listings]
PIMCO Dynamic Credit and Mortgage Income Fund (NYSE:PCI),NYSE:PCI,Financials (Primary),-, 29.98 ,-,-,-,-,-,-,-,New York Stock Exchange (NYSE),-
PIMCO Dynamic Income Fund (NYSE:PDI),NYSE:PDI,Financials (Primary),-, 38.54 ,-,-,-,-,-,-,-,New York Stock Exchange (NYSE),"DB:1KF
Company: PIMCO Dynamic Income Fund
(IQT716424993) - Deutsche Boerse AG (DB)"
Pimco Dynamic Income Opportunities Fund (NYSE:PDO),NYSE:PDO,Financials (Primary),-, 29.19 ,-,-,-,-,-,-,-,New York Stock Exchange (NYSE),-
PIMCO Energy and Tactical Credit Opportunities Fund (NYSE:NRGX),NYSE:NRGX,Financials (Primary),-, 16.45 ,-,-,-,-,-,-,-,New York Stock Exchange (NYSE),"DB:3VZ
Company: PIMCO Energy and Tactical Credit Opportunities Fund
(IQT645666629) - Deutsche Boerse AG (DB)"
PIMCO EQT Wholesale Global Bond Fund (ASX:PMF03),ASX:PMF03,Financials (Primary),-,-,-,-,-,-,-,-,-,Australian Securities Exchange (ASX),-
PIMCO ETF Trust - PIMCO 0-5 Year High Yield Corporate Bond Index Exchange-Traded Fund (ARCA:HYS),ARCA:HYS,Financials (Primary),-, 134.08 ,-,-,-,-,-,-,-,-,"BMV:HYS *
Company: PIMCO ETF Trust - PIMCO 0-5 Year High Yield Corporate Bond Index Exchange-Traded Fund
(IQT216512436) - Bolsa Mexicana de Valores (BMV)"
PIMCO ETF Trust - PIMCO 1-5 Year U.S. TIPS Index Exchange-Traded Fund (ARCA:STPZ),ARCA:STPZ,Financials (Primary),-, 73.82 ,-,-,-,-,-,-,-,-,"BMV:STPZ *
Company: PIMCO ETF Trust - PIMCO 1-5 Year U.S. TIPS Index Exchange-Traded Fund
(IQT136766979) - Bolsa Mexicana de Valores (BMV)"
PIMCO ETF Trust - PIMCO 15+ Year U.S. TIPS Index Exchange-Traded Fund (ARCA:LTPZ),ARCA:LTPZ,Financials (Primary),-, 115.62 ,-,-,-,-,-,-,-,-,"BMV:LTPZ *
Company: PIMCO ETF Trust - PIMCO 15+ Year U.S. TIPS Index Exchange-Traded Fund
(IQT136766978) - Bolsa Mexicana de Valores (BMV)"
PIMCO ETF Trust - PIMCO Broad U.S. TIPS Index Exchange-Traded Fund (ARCA:TIPZ),ARCA:TIPZ,Financials (Primary),-, 88.13 ,-,-,-,-,-,-,-,-,"BMV:TIPZ *
Company: PIMCO ETF Trust - PIMCO Broad U.S. TIPS Index Exchange-Traded Fund
(IQT136766977) - Bolsa Mexicana de Valores (BMV)"
PIMCO ETF Trust - PIMCO Investment Grade Corporate Bond Index Exchange-Traded Fund (ARCA:CORP),ARCA:CORP,Financials (Primary),-, 153.54 ,-,-,-,-,-,-,-,-,"BMV:CORP *
Company: PIMCO ETF Trust - PIMCO Investment Grade Corporate Bond Index Exchange-Traded Fund
(IQT136766976) - Bolsa Mexicana de Valores (BMV)"
